"Latitude","Longitude","deviceSignalStrength","latencyAverage","downloadSpeed","uploadSpeed"
"38.47","-107.9",-79,238.96,939.262,
"38.47","-107.91",-75.6666666667,266.2666666667,228.54,110.3933333333
"38.47","-107.93",-81,202.8,1484.88,331.425
"38.48","-104.61",,,300.215,10.78
"38.48","-104.96",-99.5,414.34,,
"38.48","-105.26",-98,656.92,796.37,1.38
"38.48","-105.9",-75,,,
"38.48","-106.08",-113,,,
"38.48","-107.03",-73,228.2,614.57,245.22
"38.48","-107.05",-82,,,
"38.48","-107.06",-100,1429.5,0,0
"38.48","-107.07",-99,1132.06,0,0
"38.48","-107.11",,,0,0
"38.48","-107.18",-85,436.74,607.625,78.03
"38.48","-107.72",-84,471.8,97.23,0
"38.48","-107.76",-83,184.2,672.34,331.73
"38.48","-107.78",-80.5625,,367.13375,83.205
"38.48","-107.79",-80,419.32,1064.08,132.638
"38.48","-107.8",-79.25,259.05,746.9925,223.7975
"38.48","-107.81",-76,327.7675,68.6225,47.625
"38.48","-107.82",-66.75,270.3,954.875,203.8425
"38.48","-107.83",-70.88,243.548,794.2648,188.4904
"38.48","-107.84",-65.9523809524,367.5238095238,683.9226190476,190.5066666667
"38.48","-107.85",-70.3463687151,,544.8161731844,
"38.48","-107.86",,,,
"38.48","-107.87",,,,
"38.48","-107.88",,,,
"38.48","-107.89",-86.974248927,,,
"38.48","-107.9",,,490.764,276.394
"38.49","-104.61",-98,,,
"38.49","-104.62",,,,
"38.49","-104.96",-79,,,
"38.49","-105.28",-106,482.42,0,0
"38.49","-105.29",-102,,0.64,9.18
"38.49","-105.33",-105,,0,0
"38.49","-106.08",-91.6,275.096,,
"38.49","-106.69",-103,,0,0
"38.49","-106.7",-120,,0,0
"38.49","-107.05",-71,215.6,315.99,160.48
"38.49","-107.78",-80.6666666667,349.4,884.2366666667,138.1
"38.49","-107.83",-68.5666666667,337.9733333333,647.6993333333,221.0666666667
"38.49","-107.84",-59.7368421053,465.5368421053,380.2589473684,139.5942105263
"38.49","-107.85",-66.7121212121,,457.9581818182,
"38.49","-107.86",-69.0549450549,,328.6041758242,134.4957142857
"38.49","-107.87",-71.1602564103,,429.308974359,
"38.49","-107.88",-74.5589519651,,,
"38.49","-107.89",-75.1882716049,,545.5942592593,
"38.49","-107.9",-78.0606060606,,753.0518181818,210.9845454545
"38.5","-104.62",-71,424.69,,
"38.5","-106.07",-63,257.78,172.59,301.64
"38.5","-106.08",-83.8,,,
"38.5","-106.32",-120,,,
"38.5","-106.72",-104,277,,
"38.5","-106.77",-54,215.6,750.22,261.7
"38.5","-107.02",-90,204.295,1141.33,98.02
"38.5","-107.82",,,814.995,646.97
"38.5","-107.83",,,511.72,200.6875
"38.5","-107.84",-69.5714285714,272.7642857143,610.095,142.04
"38.5","-107.85",-62.5,500,538.32,165.76
"38.5","-107.86",-76,,442.42875,248.72
"38.5","-107.87",-72.0952380952,397.0728571429,393.9323809524,158.4657142857
"38.5","-107.88",-71.5769230769,264.2615384615,688.6907692308,265.3865384615
"38.5","-107.9",-76.6519607843,,,
"38.5","-107.91",-77.4090909091,297.4090909091,1019.9631818182,254.5177272727
"38.5","-107.92",-89,237,232.32,331.26
"38.5","-107.93",-80.5,1369.7,211.525,0
"38.5","-107.94",-67,2301,313.77,0
"38.51","-104.62",,223.8266666667,,
"38.51","-104.63",,,1859.33,56.66
"38.51","-104.96",-56,,0,0
"38.51","-105.98",,331.41,,
"38.51","-106.04",-80,,0,0
"38.51","-106.05",-95,181,,
"38.51","-106.06",,,2082.21,207.54
"38.51","-106.07",,,,
"38.51","-106.76",-113,,0,0
"38.51","-107.01",-111,203.6666666667,,
"38.51","-107.83",-79,237.2,416.89,331.64
"38.51","-107.87",-67.8571428571,253.0428571429,505.3857142857,284.0871428571
"38.51","-107.88",-71.0344827586,354.2310344828,580.87,202.74
"38.51","-107.89",-79.1666666667,230.8666666667,447.205,276.3
"38.51","-107.91",-79.635021097,,,
"38.51","-107.92",-76.3333333333,239.9,541.43,110.5666666667
"38.51","-107.96",-79,134.2,189.78,0
"38.52","-104.63",,,,
"38.52","-104.91",-81.5,175.45,719.545,192.32
"38.52","-104.96",-84.5,,661.09,407.255
"38.52","-105.98",-91,177,,
"38.52","-105.99",-78,,,
"38.52","-106.01",-101,253,,
"38.52","-106.02",,,,
"38.52","-106.03",-92,235.5,,
"38.52","-106.07",-120,,,
"38.52","-106.08",,393.652,866.666,396.636
"38.52","-106.12",,,,
"38.52","-106.67",-120,,0,0
"38.52","-106.77",-83,168.13,1027.87,720.49
"38.52","-106.79",-69,203.2,392.46,181.79
"38.52","-106.8",-72,196.8,340.84,193.69
"38.52","-106.95",-80,76.17,125.86,887.45
"38.52","-106.96",-95,171.67,541.88,207.9
"38.52","-106.98",,264.16,3492.93,1080.46
"38.52","-107.86",-101,218.5,816.71,0
"38.52","-107.87",-78,280.8,501.635,331.565
"38.52","-107.88",-76.25,212.2,1214.215,325.7725
"38.52","-107.89",-83,702.25,465.05,330.7
"38.52","-107.9",-79,227.8,472.48,331.7
"38.52","-107.91",-80.375,205.175,1033.9075,245.13375
"38.52","-107.92",-82.7777777778,642.2377777778,,
"38.52","-107.93",-81,187.2,124.91,331.56
"38.52","-107.97",-89,1721.875,121.6,0
"38.53","-104.63",,,,
"38.53","-104.64",-64,168.0666666667,,
"38.53","-104.96",-105,711,,
"38.53","-105.98",-93,491.8,37.21,0
"38.53","-105.99",-95,514,,
"38.53","-106",-88.5,,944.7825,123.86875
"38.53","-106.08",-86,191.855,,
"38.53","-106.09",,,2329.48,743.93
"38.53","-106.83",-80,328.54,1167.69,530.81
"38.53","-106.93",-83,196.18,4647.44,1123.62
"38.53","-106.94",,,538.7433333333,255.4466666667
"38.53","-106.95",-85,315.6,1739.69,115.68
"38.53","-107.88",-72,185.55,1843.825,331.5525
"38.53","-107.89",-68,263.6,350.565,331.725
"38.53","-107.91",-74.3636363636,230.3454545455,1459.3890909091,296.4536363636
"38.53","-107.93",-94.6666666667,531.8,,
"38.53","-107.94",-76.5,461.6,,
"38.53","-107.95",-75,191.8,1322.325,331.57
"38.54","-104.64",,,,
"38.54","-104.95",-106.3333333333,,,
"38.54","-106",-81,171.16,334.03,218.16
"38.54","-106.01",-89,,651.68,12
"38.54","-106.08",-66,302,,
"38.54","-106.2",-120,184,0,0
"38.54","-106.21",-104,,0,0
"38.54","-106.22",-104,1264.58,178.64,5.28
"38.54","-106.87",-89,800.03,45.81,117.34
"38.54","-106.89",-67,,0,0
"38.54","-106.9",-124.5,,0,0
"38.54","-106.91",-74.5,150.1675,365.2475,4165.26
"38.54","-106.92",,,,
"38.54","-106.93",-85.2,248.041,,
"38.54","-106.94",-80,222.09,303.58,555.21
"38.54","-107.89",-80.3333333333,280.7333333333,1461.9433333333,221.06
"38.54","-107.9",-77.5666666667,225.46,2096.706,287.288
"38.54","-107.91",-81.5,196.6,1867.77,331.585
"38.54","-107.94",-85.2620320856,224.9294117647,,
"38.54","-107.95",-80.173553719,,,
"38.55","-102.78",-95,,0,0
"38.55","-103.94",,,29.36,25.8
"38.55","-104.44",-51,171.8,11273.51,882.22
"38.55","-104.64",-68.25,140.5575,,
"38.55","-104.65",,,,
"38.55","-104.94",-78,,,
"38.55","-106.08",-94,275.6,715.24,35.22
"38.55","-106.25",-56,151.6,489.87,316.3
"38.55","-106.29",-120,,,
"38.55","-106.9",,,487.89,359.01
"38.55","-106.91",-88,1088.775,2699.695,502.1
"38.55","-106.92",-93.2,197.39,,
"38.55","-107.89",-85,171.6,884.12,331.7
"38.55","-107.95",-79,271.8,2298.79,331.46
"38.56","-104.65",,185.206,,
"38.56","-104.94",-75,,0,0
"38.56","-106.08",-66,809.4,118.65,35.54
"38.56","-106.57",-95,,,
"38.56","-106.63",-104,,,
"38.56","-106.92",-73,218.4,848.34,252.79
"38.56","-107.89",-85,174.8,767.55,0
"38.56","-107.95",-80,646.2,,
"38.57","-104.65",-64.6666666667,139.18,6540.7133333333,539.98
"38.57","-104.66",-78,170,,
"38.57","-104.72",-93,1012.6,219.63,150.84
"38.57","-104.92",-90,61.33,10368.31,4217.1
"38.57","-104.93",-99.5,298.165,,
"38.57","-106.08",,,,
"38.57","-107.94",,,1787.05,136.88
"38.57","-107.95",-113,403.13,2618.59,369.86
"38.57","-107.96",-78.3333333333,306.4666666667,,
"38.57","-108.64",,,18.78,0
"38.58","-104.66",,158.3785714286,6784.3814285714,2291.5578571429
"38.58","-104.67",,,3255.1277777778,271.7844444444
"38.58","-104.72",,133.82,58.33,90.15
"38.58","-104.91",-75,209,2833.94,343.875
"38.58","-104.92",-63.3333333333,213.09,5065.4266666667,1020.4033333333
"38.58","-104.94",-98,1317.24,36.35,13.19
"38.58","-106.08",-84,,,
"38.58","-106.92",-97,206.815,1161.77,670.185
"38.58","-107.9",-79,181,242.78,331.72
"38.58","-107.96",-65.6666666667,379.2,647.4566666667,148.7366666667
"38.58","-108.04",-103.25,,83.3625,82.935
"38.58","-108.05",-97,,0,0
"38.59","-104.67",,154.88,,
"38.59","-104.88",-57,153.6,9920.33,788.78
"38.59","-104.9",-82,325.25,1584.0325,209.7275
"38.59","-104.91",-75.6666666667,172.5333333333,3333.4233333333,382.9166666667
"38.59","-106.08",-94.5,1660.12,102.395,30.135
"38.59","-106.92",-97,147.37,556.43,209.5
"38.59","-107.97",-53.2857142857,621.7428571429,458.1814285714,101.9685714286
"38.59","-108.05",-97,1884.6,0,0
"38.6","-104.67",-70,251.9,3941.9875,305.65
"38.6","-104.68",,177.77,,
"38.6","-104.69",-88,27.76,786.2,822.8
"38.6","-104.7",-73.8,242.842,4024.51,561.246
"38.6","-104.9",,241.4438461538,,
"38.6","-104.95",,,955.05,179.91
"38.6","-106.08",-95,,,
"38.6","-107.97",-85.5,178.1,,
"38.6","-107.98",,,,
"38.6","-108",-90,507.1,155.985,165.855
"38.6","-108.02",-77.5,201.4,467.365,226.095
"38.61","-104.46",,,528.95,387.14
"38.61","-104.68",,267.9428571429,,
"38.61","-104.81",-79,165,5103.07,623.255
"38.61","-104.88",-70.3636363636,,3090.9672727273,677.9545454545
"38.61","-104.89",-77.0909090909,,,
"38.61","-105.22",-102,1591.31,3.57,0
"38.61","-105.33",,,4.3,184.31
"38.61","-106.08",-86,183.09,152.9,378.3
"38.62","-104.68",,,1791.2366666667,168.4833333333
"38.62","-104.69",,,2704.2883333333,441.3816666667
"38.62","-104.71",-63,176.8,9010.48,873.9
"38.62","-104.86",-71,231.4,4050.66,674.01
"38.62","-104.87",-76.3333333333,,,
"38.62","-104.88",-60,454.53,2343.81,274.405
"38.62","-106.07",-89.5,,,
"38.62","-106.35",-106,,0,0
"38.62","-108.05",-79,193.4,696.8,331.68
"38.62","-108.07",-99,427.4,62.86,0
"38.63","-104.69",-80.9090909091,241.3272727273,1979.56,275.97
"38.63","-104.7",,260.23,243.62,168.4
"38.63","-104.84",-80,213.51,545.03,264.7
"38.63","-104.86",-89.5,159.26,2479.855,277.41
"38.63","-104.87",-61,165.4,4272.24,426.03
"38.63","-106.08",-113,,,
"38.63","-107.98",-94,623.81,437.56,31.77
"38.64","-104.69",,183.185,,
"38.64","-104.83",-73,150.4,11549.09,864.71
"38.64","-104.86",-69,231.45,2985.2033333333,234.9333333333
"38.64","-106.08",-94.3333333333,,,
"38.64","-106.86",-97,3467.65,56.26,71.9
"38.64","-109",,,40.63,52.56
"38.65","-104.69",,174.985,,
"38.65","-104.7",-62.75,177.15,3138.4425,336.3075
"38.65","-104.74",-71,245.2,3990.13,654.97
"38.65","-104.86",-65.75,246.575,3474.6525,503
"38.65","-106.08",,,,
"38.65","-108.05",-83,168.4,860.42,331.15
"38.65","-108.09",-103,193.4,231.52,0
"38.66","-104.67",-78,,,
"38.66","-104.68",-71,234.6666666667,2990.3233333333,570.6366666667
"38.66","-104.69",,68.08,19112.13,4262.19
"38.66","-104.7",-73.9375,,,
"38.66","-104.86",-73.1111111111,,,
"38.66","-106.08",-97.3333333333,,,
"38.66","-106.26",,,0,0
"38.66","-106.46",-105,,,
"38.66","-107.99",-90.5,220.1,527.51,194.46
"38.66","-108",-83,427.4,69.07,0
"38.67","-104.67",,,1988.71,82.7533333333
"38.67","-104.68",,211.54,4416.085,1047.84
"38.67","-104.69",-85.1428571429,106.5628571429,,
"38.67","-104.7",-63.45,,,
"38.67","-104.71",-59.875,189.25375,,
"38.67","-104.84",-113,,,
"38.67","-104.85",-78,220,3616.71,187.7
"38.67","-104.86",,,394.0933333333,235.0233333333
"38.67","-106.46",-105,,0,0
"38.67","-106.67",,,472.7,270.2
"38.67","-108",-71.2,243.76,,
"38.67","-108.08",-99,527.4,22.65,0
"38.68","-104.67",-102,63.06,2664.83,769.66
"38.68","-104.68",-77,176.9,4550.4,507.735
"38.68","-104.69",,,2968.515,777.005
"38.68","-104.7",,549.85625,647.2375,88.47875
"38.68","-104.71",,184.0322222222,,
"38.68","-104.77",-81,340.4,422.36,201.35
"38.68","-104.8",-59,171.4,5940.54,795.51
"38.68","-104.84",-75,,1025.5257142857,115.74
"38.68","-106.46",-105,,0,0
"38.68","-106.48",-105,,,
"38.68","-106.49",-105,,0,0
"38.68","-107.96",-65,301,,
"38.68","-108",-80,379,,
"38.69","-104.47",-95,449.2,815.73,67.75
"38.69","-104.48",-101,260.08,129.26,0
"38.69","-104.53",-95,243.4,463.73,285.25
"38.69","-104.65",-59,187.2,361.23,0
"38.69","-104.69",,,2359.6116666667,292.235
"38.69","-104.7",-66,154.7,4492.45,632.59
"38.69","-104.71",-61.8333333333,195.9183333333,4351.185,681.6533333333
"38.69","-104.72",-57.4090909091,279.5568181818,,
"38.69","-104.81",-85,278.86,219.94,38.61
"38.69","-104.83",-70.3333333333,,,
"38.69","-106.48",-105,,,
"38.69","-108.01",-60.25,232.1,979,174.975
"38.69","-108.02",-112,1633.73,81.59,0
"38.69","-108.06",-117.5,973.025,39.27,0
"38.7","-104.67",-74,144.445,5898.65,1807.63
"38.7","-104.68",,97.569,5112.4165,1547.2195
"38.7","-104.69",,189.5589189189,1536.4632432432,790.0275675676
"38.7","-104.7",,,1483.73,951.77
"38.7","-104.71",-70,68.975,29463.06,12322.625
"38.7","-104.72",,213.2685714286,,
"38.7","-104.77",,230.98,1408.95,60.64
"38.7","-104.82",-83.8,,1801.377,220.759
"38.7","-104.83",,,0,0
"38.7","-105",,,256.71,233.21
"38.7","-105.14",-98,1446.02,74.05,8.77
"38.7","-106.09",,,,
"38.7","-106.48",-105,,0,0
"38.7","-106.49",-105,,,
"38.7","-108",-79.6666666667,729.1333333333,427.63,58.94
"38.7","-108.03",-96,190,,
"38.71","-104.66",-61,124.4,11076.43,927.42
"38.71","-104.68",,,2040.4916666667,573.21
"38.71","-104.69",,,,
"38.71","-104.7",,256.2058730159,,
"38.71","-104.71",,313.4325,848.99,272.6425
"38.71","-104.72",,199.2761111111,,
"38.71","-104.78",-63.75,217.615,2360.6075,560.49
"38.71","-104.79",-82.6666666667,388.5033333333,298.6266666667,93.54
"38.71","-104.81",-75,377.7766666667,709.195,122.9766666667
"38.71","-105.14",-66,221.9,27.84,0
"38.71","-105.32",,,1657.37,343.79
"38.71","-106.08",,179.56,260.87,356.08
"38.71","-106.09",-89.6666666667,375.0533333333,,
"38.71","-106.48",-51,,,
"38.71","-106.49",-105,,0,0
"38.71","-107.5",,,512.67,321.17
"38.71","-108.01",-81.2727272727,314.2363636364,454.3009090909,109.2190909091
"38.71","-108.04",-93,364.72,293.21,21.98
"38.72","-104.63",-77.6666666667,352.4466666667,1595.7033333333,283.4466666667
"38.72","-104.64",-69,199.715,2796.39,505.005
"38.72","-104.65",,,,
"38.72","-104.67",,,3785.9777272727,459.3490909091
"38.72","-104.68",,,,
"38.72","-104.69",,,,
"38.72","-104.7",,126.7036507937,,
"38.72","-104.71",,,,
"38.72","-104.72",,,,
"38.72","-104.73",-70.2790697674,,,
"38.72","-104.74",-83,77.05,7751.31,6893.86
"38.72","-104.75",-67,177.8,3776.6,413.92
"38.72","-104.76",-54.6,493.9,2650.065,609.132
"38.72","-104.78",-51,187.4,6734.21,849.93
"38.72","-104.79",-67.2222222222,211.8822222222,4348.5511111111,696.6677777778
"38.72","-104.8",-65,262,1873.33,162.38
"38.72","-104.81",,,726.7236363636,130.0236363636
"38.72","-104.82",-63.5,220.8,4904.675,739.425
"38.72","-106.08",-85.6666666667,293.2233333333,478.5933333333,110.3233333333
"38.72","-106.11",,,1056.28,692.08
"38.72","-106.18",,,0,0
"38.72","-106.77",-93.25,167.75,,
"38.72","-108",-79,231.2,301.81,158.81
"38.72","-108.05",-86.6666666667,313.7066666667,,
"38.72","-108.06",-71.1428571429,257.1142857143,315.3557142857,90.2328571429
"38.72","-108.08",-83,190.63,0,1378.37
"38.73","-104.63",,,2083.7763247863,344.5547863248
"38.73","-104.64",,154.9171428571,2324.2471428571,396.65
"38.73","-104.65",-96.3333333333,159.1733333333,2314.0633333333,183.3533333333
"38.73","-104.67",-94,60.85,5849.82,5676.43
"38.73","-104.68",,194.438125,4502.5425,1300.05625
"38.73","-104.69",,,,
"38.73","-104.7",,410.9772222222,,
"38.73","-104.71",,,1252.015,258.4061111111
"38.73","-104.72",,,,
"38.73","-104.73",,,,
"38.73","-104.74",-73.5,313.6165625,,
"38.73","-104.75",-92,595.635,532.67,91.905
"38.73","-104.76",-51.5,235.45,5381.685,726.0575
"38.73","-104.77",-57,179.86,2856.1633333333,652.56
"38.73","-104.78",-69,205.98,3267.5366666667,1347.5466666667
"38.73","-104.79",-73,336.462,2169.69,1133.432
"38.73","-104.8",,,,
"38.73","-104.81",,339.931875,896.845,499.329375
"38.73","-104.82",-82,337.38,1159.51,757.6422222222
"38.73","-104.83",-75,104.83,2001.3,540.33
"38.73","-104.89",-98,1378.69,79.72,10.49
"38.73","-105.17",-99,200,54.92,0
"38.73","-106.08",-90.5,,,
"38.73","-106.13",,255.07,201.42,7.15
"38.73","-106.14",,,0.45,0
"38.73","-106.16",,,1737.34,792.07
"38.73","-106.17",-106,,0,0
"38.73","-106.48",-105,,,
"38.73","-106.73",-96,310,,
"38.73","-106.74",-111,103.88,5221.39,165.89
"38.73","-108.06",-84.2,412.5,,
"38.73","-108.07",,,,
"38.73","-108.16",-99,188.5,,
"38.74","-104.18",-101,995.15,88.22,42.01
"38.74","-104.63",-109,375.38,2327.33,29.92
"38.74","-104.66",-107.5,115.805,3634.36,3130.545
"38.74","-104.68",-78.3333333333,161.5333333333,,
"38.74","-104.69",-101,510,4173.68,304.04
"38.74","-104.71",,617.515,2968.67,645.37
"38.74","-104.72",,,1457.6645714286,159.8718571429
"38.74","-104.73",,,,
"38.74","-104.74",,,,
"38.74","-104.75",-71.9482758621,226.795,,
"38.74","-104.76",-108.1515151515,317.3227272727,1671.0721212121,147.0433333333
"38.74","-104.77",,280.0140909091,2190.2681818182,201.345
"38.74","-104.79",-78.6666666667,261.1333333333,355.6533333333,85.5366666667
"38.74","-104.8",,,,
"38.74","-104.81",-64.0806451613,,1627.5480645161,445.6059677419
"38.74","-104.82",,,2102.83875,670.5925
"38.74","-104.83",,249.4792307692,1142.4938461539,499.321025641
"38.74","-104.84",-75,1379.6,100.98,48.94
"38.74","-104.89",-101,1482.4,181.81,0
"38.74","-104.91",-101,1623.4,129.78,0
"38.74","-105.17",-91.5,,,
"38.74","-105.18",-82,499.5666666667,,
"38.74","-106.08",-101.3333333333,959.5,,
"38.74","-106.48",-51,,,
"38.74","-106.76",-101,1630,53.74,78.39
"38.74","-108.04",-82.5714285714,225,534.0757142857,109.3585714286
"38.74","-108.05",-59,249.9333333333,459.5433333333,127.8866666667
"38.74","-108.06",-72.5294117647,278.9411764706,,
"38.74","-108.07",,,,
"38.74","-108.11",-72.5,170.5,,
"38.75","-104.47",-71,172,5758.02,941.41
"38.75","-104.64",,200.1530769231,2203.79,952.7115384615
"38.75","-104.65",,237.725,5723.73,516.8
"38.75","-104.66",-98.5,131.815,5359.95,5330.22
"38.75","-104.68",,158.8225,,
"38.75","-104.71",,344.13,1057.7375,367.37
"38.75","-104.72",,425.8138461538,1707.1107692308,727.9276923077
"38.75","-104.73",,,2078.1913636364,328.515
"38.75","-104.74",,,1564.7417204301,386.9088172043
"38.75","-104.75",-84.5625,,,
"38.75","-104.76",,,,
"38.75","-104.77",-71,142.9,558.19,47.83
"38.75","-104.78",-81.25,,1191.3425,300.23
"38.75","-104.79",-73.3333333333,356.44,1411.93,703.9866666667
"38.75","-104.8",,99.99,3048.29,3359.7266666667
"38.75","-104.81",-71.8870967742,,,
"38.75","-104.82",,,,
"38.75","-104.83",-79.7714285714,245.9342857143,2558.1294285714,661.0585714286
"38.75","-104.84",-82.6666666667,327.07,516.6633333333,217.8433333333
"38.75","-105.1",-80,2306.22,54.73,7.15
"38.75","-105.16",-81.3,429.623,,
"38.75","-105.17",-78.6666666667,157.78,96.1,415.97
"38.75","-106.08",,209.09,975.95,434.505
"38.75","-106.48",-105,,0,0
"38.75","-106.67",-96,,0,0
"38.75","-106.76",-104,,0,0
"38.75","-108.01",-82,240.5,548.535,156.09
"38.75","-108.02",-72.2,377.82,502.006,120.227
"38.75","-108.03",-85,237.6,431.78,159.36
"38.75","-108.04",-79.2,374.32,281.368,72.526
"38.75","-108.05",-75.4230769231,315.1307692308,352.6534615385,85.3384615385
"38.75","-108.06",-72.6923076923,633.4,,
"38.75","-108.14",-75.6666666667,543.7333333333,150.2133333333,49.9633333333
"38.75","-108.15",-86.5,,227.675,120.9
"38.75","-108.16",-63,271.8,917.41,124.74
"38.75","-108.17",-82,125,1842.5,78.91
"38.75","-108.18",-76,218.8,364.46,100.62
"38.76","-102.77",-87.6666666667,,,
"38.76","-102.78",-85,,,
"38.76","-102.79",-94,,,
"38.76","-102.81",-81,,0,0
"38.76","-102.85",-107,,,
"38.76","-103.98",,,35.15,325.41
"38.76","-104.55",-101,381,63.56,22.27
"38.76","-104.57",-61,162,10968.96,836.72
"38.76","-104.64",-94,281.635,454.035,141.82
"38.76","-104.65",,,6381.0480952381,2064.4928571429
"38.76","-104.66",-79,320.4,1316.925,424.065
"38.76","-104.67",-52,190.2,3020.96,413.97
"38.76","-104.68",,,2768.357,459.712
"38.76","-104.69",-84.875,,3427.18125,1392.86
"38.76","-104.7",-75.8,223.76,,
"38.76","-104.71",,,,
"38.76","-104.72",,,1122.2128571429,404.8771428571
"38.76","-104.73",,,2843.1316216216,424.2221621622
"38.76","-104.74",,,2312.7746153846,289.8746153846
"38.76","-104.75",,,1779.1628,329.3948
"38.76","-104.76",,,,
"38.76","-104.77",,,,
"38.76","-104.78",,,,
"38.76","-104.79",,,,
"38.76","-104.8",,,,
"38.76","-104.81",,,,
"38.76","-104.82",,,2016.2168421053,556.6663157895
"38.76","-104.83",,,,
"38.76","-104.84",,182.8385714286,8196.6321428571,5677.05
"38.76","-104.85",-83.4285714286,,625.4885714286,734.6171428571
"38.76","-105.14",-91,386,20.81,0
"38.76","-105.15",-97.6666666667,795.2833333333,6.52,32.69
"38.76","-106.09",-100.3333333333,,,
"38.76","-106.63",-105,,0,0
"38.76","-108",-83.25,,84.555,36.21
"38.76","-108.07",-86.3333333333,328.6666666667,,
"38.76","-108.08",,241.4925,,
"38.76","-108.09",-74,309.4,853.85,232.09
"38.76","-108.1",-77,228,1115.79,141.1
"38.76","-108.11",-76,225,1219.57,174.07
"38.76","-108.12",-82,125,,
"38.76","-108.13",-93,640.6,69.07,0
"38.76","-108.14",-40,193.8,114.87,100.68
"38.76","-108.19",-94.5,481.4,161.4,41.485
"38.76","-108.21",-71,371.2,983.178,119.55
"38.77","-104.65",,193.8136363636,5952.7254545455,3928.2672727273
"38.77","-104.66",,,5005.6083333333,583.4566666667
"38.77","-104.68",,382.113125,960.9375,406.7060416667
"38.77","-104.69",-82.2857142857,900.9885714286,1436.6221428571,506.1503571429
"38.77","-104.7",-81.6666666667,378.5333333333,388.28,165.84
"38.77","-104.71",,206.04,5507.74,1420.23
"38.77","-104.72",,,,
"38.77","-104.73",,,2990.1505882353,501.6241176471
"38.77","-104.74",,,,
"38.77","-104.75",,,,
"38.77","-104.76",,,,
"38.77","-104.77",,,,
"38.77","-104.78",,,,
"38.77","-104.79",,,1760.9257352941,446.6326470588
"38.77","-104.8",,,,
"38.77","-104.81",,,,
"38.77","-104.82",,,5646.0447222222,1581.5194444444
"38.77","-104.83",,,1151.1377777778,347.4155555556
"38.77","-104.84",-78.25,170.75,480.5725,689.2575
"38.77","-104.85",,,409.6268965517,418.6472413793
"38.77","-104.86",-78.6666666667,237.9666666667,2649.3,822.6
"38.77","-105.01",-106,,0,0
"38.77","-105.14",-81,,603.7,68.8933333333
"38.77","-106.1",-91,1102.97,,
"38.77","-106.62",-57,,,
"38.77","-107.99",-70,193.8,711.36,120.18
"38.77","-108",-70.5,466.275,605.2075,125.56
"38.77","-108.23",-94,228.2,1226.33,198.7
"38.78","-102.71",-71,,,
"38.78","-102.92",-93,,,
"38.78","-103.94",,,70.66,387.43
"38.78","-104.38",-79,605.4,2590.1,250.68
"38.78","-104.65",,,3867.36,434.14
"38.78","-104.66",-51,226.2,7589.08,688.1966666667
"38.78","-104.68",,501.7233333333,1059.9843333333,383.4613333333
"38.78","-104.69",,375.6747826087,1514.3373913044,497.6347826087
"38.78","-104.7",-94.1428571429,288.6157142857,2747.4142857143,1738.11
"38.78","-104.71",,,,
"38.78","-104.72",,,,
"38.78","-104.73",,,,
"38.78","-104.74",,,,
"38.78","-104.75",,,,
"38.78","-104.76",,,,
"38.78","-104.77",,,,
"38.78","-104.78",,242.9634848485,,
"38.78","-104.79",,,,
"38.78","-104.8",,,,
"38.78","-104.81",,,,
"38.78","-104.82",,,,
"38.78","-104.83",-80.1935483871,,,
"38.78","-104.84",,,1782.19,313.1014285714
"38.78","-104.85",,315.351,3102.525,1523.31
"38.78","-104.86",,,2898.6357894737,517.4036842105
"38.78","-104.87",-97,156.59,2142.64,890.17
"38.78","-104.9",,,,
"38.78","-104.91",-113,1441.4,8.08,0
"38.78","-105.12",-109,1675.75,0,12.68
"38.78","-105.13",-116,1062.4,4.82,0
"38.78","-105.14",-75,,,
"38.78","-106.1",-101,1371.32,31.28,3.13
"38.78","-107.95",-82,,0,0
"38.78","-107.98",-52,206.2,1228.05,140.53
"38.78","-107.99",-77.8333333333,241.6666666667,,
"38.78","-108.17",-67,208,,
"38.78","-108.24",-67.5,201.6,530.1275,150.205
"38.78","-108.25",-94,446.8,60.88,48.88
"38.79","-102.65",-81,,,
"38.79","-104.47",,,543.31,256.59
"38.79","-104.68",-86.7428571429,379.546,2499.2051428571,675.82
"38.79","-104.69",,,2411.8333333333,698.6383333333
"38.79","-104.7",,,,
"38.79","-104.71",-77.98,172.4058,2135.765,930.1316
"38.79","-104.72",,,,
"38.79","-104.73",,,,
"38.79","-104.74",,,,
"38.79","-104.75",,,,
"38.79","-104.76",-59.5077399381,,,
"38.79","-104.77",,,,
"38.79","-104.78",,,,
"38.79","-104.79",,,,
"38.79","-104.8",,,,
"38.79","-104.81",,,,
"38.79","-104.82",,,,
"38.79","-104.83",,,1779.6861333333,809.6281333333
"38.79","-104.84",,,,
"38.79","-104.85",,,,
"38.79","-104.86",,,1777.2395,337.1345
"38.79","-104.87",-84.9166666667,422.2808333333,,
"38.79","-104.88",,,,
"38.79","-104.89",-99.625,,249,91.36875
"38.79","-104.9",,,357.31,37.97625
"38.79","-105.12",-124,212.4,464.05,0
"38.79","-105.13",-102,,0,0
"38.79","-106.08",,197.39,399.12,258.41
"38.79","-106.11",-108,438.35,31.14,0
"38.79","-106.56",-101,,,
"38.79","-107.7",-74,696.9,277.205,66.415
"38.79","-107.71",-81.5,215.7,851.275,150.225
"38.79","-107.72",-75,432.9,505.8933333333,124.3216666667
